Date,Time,Locale,Species,Age,Sex,Morph,Copulation.status,Parasites,Catching.time.minutes.,Year,Ischunra.elegans.morph,Ischunra.elegans.phase
6/3/19,8:24:00,Borgeby,Coenagrion_puella,Mature,1,,0,4,30,2019,NA,NA
6/3/19,8:24:00,Borgeby,Enallagma_cyathigerum,Mature,1,,0,0,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Libellula_quadrimaculata,Mature,,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Anax_imperator,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Immature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Teneral,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:00:00,Borgeby,Orthetrum_cancellatum,Mature,1,,0,NA,30,2019,NA,NA
6/11/19,15:05:00,Borgeby,Ischnura_elegans,Mature,0,Androchrome,0,0,30,2019,Androchrome,NA
6/11/19,15:05:00,Borgeby,Ischnura_elegans,Mature,0,Androchrome,0,0,30,2019,Androchrome,NA
6/11/19,15:05:00,Borgeby,Coenagrion_pulchellum,Mature,0,,0,15,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Ischnura_elegans,Mature,0,Gynochrome,1,1,30,2019,Infuscans,NA
6/11/19,15:07:00,Borgeby,Ischnura_elegans,Mature,1,,1,0,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Ischnura_elegans,Mature,0,Androchrome,1,1,30,2019,Androchrome,NA
6/11/19,15:07:00,Borgeby,Ischnura_elegans,Mature,1,,1,0,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Ischnura_elegans,Mature,1,,1,1,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Ischnura_elegans,Mature,0,Gynochrome,1,2,30,2019,Infuscans,NA
6/11/19,15:07:00,Borgeby,Enallagma_cyathigerum,Mature,1,,1,1,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Enallagma_cyathigerum,Mature,0,,1,38,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Coenagrion_pulchellum,Teneral,1,,0,16,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Enallagma_cyathigerum,Mature,1,,0,1,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Enallagma_cyathigerum,Mature,1,,0,2,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Coenagrion_pulchellum,Mature,1,,0,4,30,2019,NA,NA
6/11/19,15:07:00,Borgeby,Ischnura_elegans,Teneral,1,,0,0,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Coenagrion_puella,Mature,1,,0,26,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Coenagrion_puella,Mature,1,,0,2,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Coenagrion_pulchellum,Mature,1,,0,0,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Ischnura_elegans,Immature,1,,0,0,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Ischnura_elegans,Teneral,0,,0,0,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Ischnura_elegans,Immature,1,,0,0,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Ischnura_elegans,Teneral,0,,0,0,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Ischnura_elegans,Teneral,0,,0,0,30,2019,NA,NA
6/11/19,15:14:00,Borgeby,Ischnura_elegans,Teneral,0,,0,0,30,2019,NA,NA
