"Date","Time","Locale","Species","Age","Sex","Morph","Copulation.status","Parasites","Catching.time.minutes.","Year","Ischunra.elegans.morph","Ischunra.elegans.phase"
"7/22/20",15:45:00,"Borgeby","Ischnura_elegans","Mature",0,"Androchrome",0,0,40,2020,"Androchrome",NA
"7/22/20",15:45:00,"Borgeby","Ischnura_elegans","Mature",0,"Androchrome",0,0,40,2020,"Androchrome",NA
"7/22/20",15:45:00,"Borgeby","Ischnura_elegans","Mature",0,"Androchrome",0,0,40,2020,"Androchrome",NA
"7/22/20",15:45:00,"Borgeby","Ischnura_elegans","Mature",0,"Androchrome",0,0,40,2020,"Androchrome",NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",0,"Gynochrome",1,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Sympetrum_vulgatum","Mature",0,"Gynochrome",0,0,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Enallagma_cyathigerum","Mature",0,"Gynochrome",0,55,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Enallagma_cyathigerum","Mature",0,"Gynochrome",0,0,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Enallagma_cyathigerum","Mature",0,"Gynochrome",0,0,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,0,NA,40,2020,NA,NA
"7/22/20",15:45:00,"Borgeby","Orthetrum_cancellatum","Mature",1,NA,1,NA,40,2020,NA,NA
