S.No.,Species,Locale,MaleMatingSuccess,Is,Year,n
88,Ischnura_elegans,Flyinge_30_A1,0.081081081,0.074506939,2020,37
89,Ischnura_elegans,Flyinge_30_A3,0.06779661,0.06320023,2020,59
90,Ischnura_elegans,Genarp,0.144,0.123264,2020,125
91,Ischnura_elegans,Gunnesbo,0.044776119,0.042771219,2020,67
92,Ischnura_elegans,Habo_Gard,0,0,2020,19
93,Ischnura_elegans,Hoje_A_14,0.327272727,0.220165289,2020,55
94,Ischnura_elegans,Hoje_A_6,0.1,0.09,2020,20
95,Ischnura_elegans,Hoje_A_7,0.1,0.09,2020,100
96,Ischnura_elegans,IKEA,0,0,2020,11
97,Ischnura_elegans,Ilstorp,0.136986301,0.118221055,2020,73
98,Ischnura_elegans,Lomma_Kyrkdamm,0.049180328,0.046761623,2020,61
99,Ischnura_elegans,Lunnarp,0.120689655,0.106123662,2020,58
100,Ischnura_elegans,Rabydammen,0,0,2020,20
101,Ischnura_elegans,Sovdemolla,0,0,2020,6
102,Ischnura_elegans,Vombs_Bruksgard,0.5,0.25,2020,2
103,Ischnura_elegans,Vombs_Vattenverk,0.370967742,0.233350676,2020,124
104,Enallagma_cyathigerum,Borgeby,0.047619048,0.045351474,2021,42
105,Enallagma_cyathigerum,Bunkeflostrand,0.25,0.1875,2021,8
106,Enallagma_cyathigerum,Flackarp,0,0,2021,1
107,Enallagma_cyathigerum,Flyinge_30_A1,0.142857143,0.12244898,2021,7
108,Enallagma_cyathigerum,Flyinge_30_A3,0,0,2021,5
109,Enallagma_cyathigerum,Genarp,0,0,2021,6
110,Enallagma_cyathigerum,Gunnesbo,0.238095238,0.181405896,2021,84
111,Enallagma_cyathigerum,Habo_Gard,0,0,2021,1
112,Enallagma_cyathigerum,Hoje_A_14,0.056338028,0.053164055,2021,71
113,Enallagma_cyathigerum,Hoje_A_6,0.053333333,0.050488889,2021,150
114,Enallagma_cyathigerum,Hoje_A_7,0,0,2021,12
115,Enallagma_cyathigerum,Holmeja,0,0,2021,1
116,Enallagma_cyathigerum,Ilstorp,0.03125,0.030273438,2021,192
117,Enallagma_cyathigerum,Krutladan,0.124430956,0.108947893,2021,659
118,Enallagma_cyathigerum,Lomma_Kyrkdamm,0.015151515,0.014921947,2021,66
119,Enallagma_cyathigerum,Lunnarp,0.117021277,0.103327297,2021,94
120,Enallagma_cyathigerum,Rabydammen,0.132075472,0.114631541,2021,53
121,Enallagma_cyathigerum,Vombs_Bruksgard,0.1,0.09,2021,80
122,Enallagma_cyathigerum,Vombs_Vattenverk,0.101694915,0.091353059,2021,177
123,Ischnura_elegans,Borgeby,0.060344828,0.056703329,2021,116
124,Ischnura_elegans,Bunkeflostrand,0.147058824,0.125432526,2021,68
125,Ischnura_elegans,Flackarp,0.074074074,0.068587106,2021,54
126,Ischnura_elegans,Flyinge_30_A1,0.12,0.1056,2021,50
127,Ischnura_elegans,Flyinge_30_A3,0.0625,0.05859375,2021,112
128,Ischnura_elegans,Genarp,0.328571429,0.220612245,2021,70
129,Ischnura_elegans,Gunnesbo,0.170454545,0.141399793,2021,88
130,Ischnura_elegans,Habo_Gard,0.04,0.0384,2021,50
131,Ischnura_elegans,Hoje_A_14,0.453781513,0.247863851,2021,119
132,Ischnura_elegans,Hoje_A_6,0.254901961,0.189926951,2021,51
133,Ischnura_elegans,Hoje_A_7,0.102564103,0.092044707,2021,117
134,Ischnura_elegans,IKEA,0,0,2021,28
135,Ischnura_elegans,Ilstorp,0.314285714,0.215510204,2021,35
136,Ischnura_elegans,Krutladan,0.044117647,0.04217128,2021,68
137,Ischnura_elegans,Lomma_Kyrkdamm,0.091549296,0.083168022,2021,142
138,Ischnura_elegans,Lunnarp,0.071428571,0.066326531,2021,98
139,Ischnura_elegans,Rabydammen,0.131868132,0.114478928,2021,91
140,Ischnura_elegans,Sovdemolla,0,0,2021,6
141,Ischnura_elegans,Vombs_Bruksgard,0,0,2021,2
142,Ischnura_elegans,Vombs_Vattenverk,0.45751634,0.248195139,2021,153
