Date,Time,Locale,Species,Age,Sex,Morph,Copulation.status,Parasites,Catching.time.minutes.,Year,Ischunra.elegans.morph,Ischunra.elegans.phase
5/19/21,13:44:00,Lomma_Kyrkdamm,Cordulia_aenea,Teneral,1,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Cordulia_aenea,Teneral,,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Cordulia_aenea,Teneral,,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Cordulia_aenea,Teneral,,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Immature,1,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Immature,0,Gynochrome,0,12,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Immature,0,Gynochrome,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Immature,1,,0,14,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Teneral,1,,0,12,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Immature,0,Gynochrome,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Teneral,1,,0,13,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Immature,1,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Teneral,1,,0,8,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Teneral,1,,0,5,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Coenagrion_pulchellum,Teneral,1,,0,15,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Immature,0,Gynochrome,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Immature,1,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Immature,1,,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Immature,0,Gynochrome,0,0,75,2021,NA,NA
5/19/21,13:44:00,Lomma_Kyrkdamm,Enallagma_cyathigerum,Teneral,0,,0,0,75,2021,NA,NA
